type,n,ratio,alpha,baseline F1 score,SLOE F1 score,baseline time (s),SLOE time (s)
gaussian,500,0.1,1.202933690854633,0.7592592592592592,0.7592592592592592,0.07699894905090332,1.5910000801086426
non_gaussian,500,0.1,1.161067663077504,0.4347826086956522,0.4347826086956522,0.0739905834197998,1.410005807876587
latent_gaussian,500,0.1,1.1468896133993642,0.5102040816326531,0.5102040816326531,0.021000385284423828,1.6480438709259033
latent_non_gaussian,500,0.1,2.2343209712179135,0.4631578947368421,0.4631578947368421,0.08199858665466309,2.7970821857452393
heavy,500,0.1,1.2421396337112895,0.735632183908046,0.735632183908046,0.07099795341491699,1.897038459777832
gaussian,1000,0.1,1.1938830318443594,0.6666666666666666,0.6666666666666666,0.29000210762023926,1.799001693725586
non_gaussian,1000,0.1,1.1474946762190399,0.5779816513761468,0.5714285714285715,0.3130011558532715,1.6480379104614258
latent_gaussian,1000,0.1,1.1479613420045083,0.45901639344262296,0.45901639344262296,0.2810018062591553,2.079129695892334
latent_non_gaussian,1000,0.1,1.1489856350209275,0.5907172995780591,0.5907172995780591,0.34600067138671875,1.7642478942871094
heavy,1000,0.1,1.2455620814370718,0.7677725118483412,0.7677725118483412,0.2859988212585449,1.9810044765472412
gaussian,3000,0.1,1.195579856885095,0.7221350078492935,0.7221350078492935,1.0319995880126953,1.949002981185913
non_gaussian,3000,0.1,1.14889810234453,0.5335515548281506,0.5335515548281506,0.8059990406036377,2.426346778869629
latent_gaussian,3000,0.1,1.146889613794077,0.5696969696969697,0.5727136431784107,0.8889985084533691,1.9405126571655273
latent_non_gaussian,3000,0.1,1.148280260723233,0.5412844036697247,0.5404580152671756,1.0999696254730225,2.586002826690674
heavy,3000,0.1,1.2543444147780562,0.7846889952153111,0.7846889952153111,1.8979992866516113,2.0490007400512695
gaussian,500,0.2,1.7625439903496682,0.6727272727272727,0.6727272727272727,0.4500000476837158,2.0780019760131836
non_gaussian,500,0.2,1.381017043399428,0.4421052631578947,0.4421052631578947,0.3239607810974121,1.9330005645751953
latent_gaussian,500,0.2,3.812932111295771,0.72,0.72,0.5230112075805664,27.47010040283203
latent_non_gaussian,500,0.2,1.376715603605336,0.5631067961165049,0.5631067961165049,0.3370020389556885,1.7520010471343994
heavy,500,0.2,1.9269582348618046,0.6842105263157895,0.6842105263157895,0.28100013732910156,2.6949994564056396
gaussian,1000,0.2,1.5142987846491858,0.6767676767676769,0.6767676767676769,1.0309996604919434,1.9270002841949463
non_gaussian,1000,0.2,1.3767371325348725,0.5829145728643217,0.5829145728643217,0.6500041484832764,1.7529966831207275
latent_gaussian,1000,0.2,1.3767936652566612,0.5238095238095238,0.5238095238095238,0.501518726348877,1.9350001811981201
latent_non_gaussian,1000,0.2,1.3767371338577943,0.5791855203619909,0.5791855203619909,0.5109992027282715,1.6169960498809814
heavy,1000,0.2,2.0718773370248176,0.7813953488372094,0.7813953488372094,1.2250010967254639,2.8448081016540527
gaussian,3000,0.2,1.5947355820554379,0.6321070234113713,0.6321070234113713,2.7460012435913086,3.021101474761963
non_gaussian,3000,0.2,1.3767370428649544,0.4874791318864775,0.4874791318864775,2.2990026473999023,1.9900035858154297
latent_gaussian,3000,0.2,1.3767371323778992,0.48322147651006714,0.4824120603015075,2.6880016326904297,2.746124267578125
latent_non_gaussian,3000,0.2,1.3767371340979935,0.5163398692810457,0.49838187702265374,2.2789971828460693,2.6225719451904297
heavy,3000,0.2,1.9056591119385504,0.7074829931972788,0.7074829931972788,2.778520345687866,3.2090840339660645
heart,83,0.12,1.553116967626662,0.8421052631578948,0.8421052631578948,0.003998994827270508,2.7051820755004883
